timestamp,milivolt,miliamp,miliwatt
1651292324,11800,456,5380.80
1651292325,11800,457,5392.6
1651292326,11800,457,5392.6
1651292327,11800,457,5392.6
1651292328,11800,458,5404.4
1651292329,11730,586,6873.78
1651292330,11800,462,5451.6
1651292331,11800,449,5298.2
1651292332,11800,452,5333.6
1651292333,11800,452,5333.6
1651292334,11790,457,5388.03
1651292335,11800,456,5380.8
1651292336,11800,455,5369
1651292337,11800,453,5345.4
1651292338,11800,458,5404.4
1651292339,11790,457,5388.03
1651292340,11800,453,5345.4
1651292341,11800,457,5392.6
1651292342,11790,458,5399.82
1651292343,11800,456,5380.8
1651292344,11790,456,5376.24
1651292345,11800,456,5380.8
1651292346,11800,456,5380.8
1651292347,11800,457,5392.6
1651292348,11800,456,5380.8
1651292349,11800,457,5392.6
1651292350,11800,456,5380.8
1651292351,11800,456,5380.8
1651292352,11800,456,5380.8
1651292353,11800,456,5380.8
1651292354,11800,455,5369
1651292355,11800,456,5380.8
1651292356,11800,455,5369
1651292357,11800,456,5380.8
1651292358,11800,456,5380.8
1651292359,11800,455,5369
1651292360,11800,457,5392.6
1651292361,11800,457,5392.6
1651292362,11800,456,5380.8
1651292363,11800,457,5392.6
1651292364,11800,456,5380.8
1651292365,11800,456,5380.8
1651292366,11800,455,5369
1651292367,11800,456,5380.8
1651292368,11800,457,5392.6
1651292369,11800,459,5416.2
1651292370,11800,459,5416.2
1651292371,11800,456,5380.8
1651292372,11800,459,5416.2
1651292373,11800,457,5392.6
1651292374,11800,457,5392.6
1651292375,11800,457,5392.6
1651292376,11800,456,5380.8
1651292377,11800,457,5392.6
1651292378,11800,456,5380.8
1651292379,11800,457,5392.6
1651292380,11800,458,5404.4
1651292381,11800,455,5369
1651292382,11800,455,5369
1651292383,11800,457,5392.6
1651292384,11800,455,5369
1651292385,11800,456,5380.8
1651292386,11800,455,5369
1651292387,11800,455,5369
1651292388,11800,456,5380.8
1651292389,11800,457,5392.6
1651292390,11800,457,5392.6
1651292391,11800,457,5392.6
1651292392,11800,459,5416.2
1651292393,11800,457,5392.6
1651292394,11800,457,5392.6
1651292395,11800,457,5392.6
1651292396,11800,455,5369
1651292397,11800,459,5416.2
1651292398,11800,456,5380.8
1651292399,11800,455,5369
1651292400,11800,456,5380.8
1651292401,11800,455,5369
1651292402,11800,461,5439.8
1651292403,11800,456,5380.8
1651292404,11800,459,5416.2
1651292405,11800,461,5439.8
1651292406,11800,456,5380.8
1651292407,11810,456,5385.36
1651292408,11800,456,5380.8
1651292409,11800,456,5380.8
1651292410,11800,455,5369
1651292411,11800,455,5369
1651292412,11800,455,5369
1651292413,11800,455,5369
1651292414,11800,456,5380.8
1651292415,11800,455,5369
1651292416,11800,455,5369
1651292417,11810,455,5373.55
1651292418,11810,456,5385.36
1651292419,11810,455,5373.55
1651292420,11800,456,5380.8
1651292421,11810,455,5373.55
1651292422,11800,456,5380.8
1651292423,11800,456,5380.8
1651292424,11800,456,5380.8
1651292425,11800,455,5369
1651292426,11800,455,5369
1651292427,11800,455,5369
1651292428,11800,455,5369
1651292429,11800,456,5380.8
1651292430,11800,455,5369
1651292431,11800,455,5369
1651292432,11790,457,5388.03
1651292433,11790,456,5376.24
1651292434,11790,455,5364.45
1651292435,11800,456,5380.8
1651292436,11800,457,5392.6
1651292437,11800,455,5369
1651292438,11800,455,5369
1651292439,11800,456,5380.8
1651292440,11800,456,5380.8
1651292441,11800,455,5369
1651292442,11800,455,5369
1651292443,11800,455,5369
1651292444,11800,457,5392.6
1651292445,11800,456,5380.8
1651292446,11800,455,5369
1651292447,11800,455,5369
1651292448,11800,456,5380.8
1651292449,11800,455,5369
1651292450,11810,455,5373.55
1651292451,11810,455,5373.55
1651292452,11810,454,5361.74
1651292453,11810,455,5373.55
1651292454,11810,454,5361.74
1651292455,11810,454,5361.74
1651292456,11810,454,5361.74
1651292457,11810,454,5361.74
1651292458,11820,454,5366.28
1651292459,11810,453,5349.93
1651292460,11810,454,5361.74
1651292461,11810,454,5361.74
1651292462,11820,454,5366.28
1651292463,11820,454,5366.28
1651292464,11820,455,5378.1
1651292465,11820,453,5354.46
1651292466,11820,454,5366.28
1651292467,11820,454,5366.28
1651292468,11820,454,5366.28
1651292469,11820,454,5366.28
1651292470,11820,461,5449.02
1651292471,11820,458,5413.56
1651292472,11820,455,5378.1
1651292473,11820,457,5401.74
1651292474,11810,464,5479.84
1651292475,11820,455,5378.1
1651292476,11820,454,5366.28
1651292477,11820,454,5366.28
1651292478,11820,454,5366.28
1651292479,11820,457,5401.74
1651292480,11820,454,5366.28
1651292481,11820,461,5449.02
1651292482,11820,457,5401.74
1651292483,11820,459,5425.38
1651292484,11820,460,5437.2
1651292485,11820,455,5378.1
1651292486,11820,456,5389.92
1651292487,11820,459,5425.38
1651292488,11820,455,5378.1
1651292489,11820,455,5378.1
1651292490,11820,455,5378.1
1651292491,11820,455,5378.1
1651292492,11820,454,5366.28
1651292493,11820,454,5366.28
1651292494,11820,459,5425.38
1651292495,11820,454,5366.28
1651292496,11830,447,5288.01
1651292497,11830,443,5240.69
1651292498,11830,445,5264.35
1651292499,11820,444,5248.08
1651292500,11820,446,5271.72
1651292501,11820,458,5413.56
1651292502,11820,458,5413.56
1651292503,11820,458,5413.56
1651292504,11820,458,5413.56
1651292505,11820,459,5425.38
1651292506,11820,456,5389.92
1651292507,11820,458,5413.56
1651292508,11820,458,5413.56
1651292509,11820,458,5413.56
1651292510,11820,457,5401.74
1651292511,11820,456,5389.92
1651292512,11820,457,5401.74
1651292513,11820,458,5413.56
1651292514,11820,462,5460.84
1651292515,11820,458,5413.56
1651292516,11820,458,5413.56
1651292517,11820,457,5401.74
1651292518,11820,455,5378.1
1651292519,11820,458,5413.56
1651292520,11820,456,5389.92
